Index,Buy_90,Notrade_135,Notrade_180,Sell_225,SL1,Buy_270,Notrade_315,Notrade_360,Sell_45,SL2
83,27474,27557,27640,27723,27764.5,27806,27889,27973.0,28057.0,28099.0
84,28141,28225,28309,28393,28435.0,28477,28561,28646.0,28731.0,28773.5
85,28816,28901,28986,29071,29113.5,29156,29241,29327.0,29413.0,29456.0
86,29499,29585,29671,29757,29800.0,29843,29929,30016.0,30103.0,30146.5
87,30190,30277,30364,30451,30494.5,30538,30625,30713.0,30801.0,30845.0
88,30889,30977,31065,31153,31197.0,31241,31329,31418.0,31507.0,31551.5
89,31596,31685,31774,31863,31907.5,31952,32041,32131.0,32221.0,32266.0
90,32311,32401,32491,32581,32626.0,32671,32761,32852.0,32943.0,32988.5
91,33034,33125,33216,33307,33352.5,33398,33489,33581.0,33673.0,33719.0
92,33765,33857,33949,34041,34087.0,34133,34225,34318.0,34411.0,34457.5
93,34504,34597,34690,34783,34829.5,34876,34969,35063.0,35157.0,35204.0
94,35251,35345,35439,35533,35580.0,35627,35721,35816.0,35911.0,35958.5
95,36006,36101,36196,36291,36338.5,36386,36481,36577.0,36673.0,36721.0
96,36769,36865,36961,37057,37105.0,37153,37249,37346.0,37443.0,37491.5
97,37540,37637,37734,37831,37879.5,37928,38025,38123.0,38221.0,38270.0
98,38319,38417,38515,38613,38662.0,38711,38809,38908.0,39007.0,39056.5
99,39106,39205,39304,39403,39452.5,39502,39601,39701.0,39801.0,39851.0
100,39901,40001,40101,40201,40251.0,40301,40401,40502.0,40603.0,40653.5
101,40704,40805,40906,41007,41057.5,41108,41209,41311.0,41413.0,41464.0
102,41515,41617,41719,41821,41872.0,41923,42025,42128.0,42231.0,42282.5
103,42334,42437,42540,42643,42694.5,42746,42849,42953.0,43057.0,43109.0
104,43161,43265,43369,43473,43525.0,43577,43681,43786.0,43891.0,43943.5
105,43996,44101,44206,44311,44363.5,44416,44521,44627.0,44733.0,44786.0
106,44839,44945,45051,45157,45210.0,45263,45369,45476.0,45583.0,45636.5
107,45690,45797,45904,46011,46064.5,46118,46225,46333.0,46441.0,46495.0
108,46549,46657,46765,46873,46927.0,46981,47089,47198.0,47307.0,47361.5
109,47416,47525,47634,47743,47797.5,47852,47961,48071.0,48181.0,48236.0
110,48291,48401,48511,48621,48676.0,48731,48841,48952.0,49063.0,49118.5
111,49174,49285,49396,49507,49562.5,49618,49729,49841.0,49953.0,50009.0
112,50065,50177,50289,50401,50457.0,50513,50625,50738.0,50851.0,50907.5
113,50964,51077,51190,51303,51359.5,51416,51529,51643.0,51757.0,51814.0
114,51871,51985,52099,52213,52270.0,52327,52441,52556.0,52671.0,52728.5
115,52786,52901,53016,53131,53188.5,53246,53361,53477.0,53593.0,53651.0
116,53709,53825,53941,54057,54115.0,54173,54289,54406.0,54523.0,54581.5
117,54640,54757,54874,54991,55049.5,55108,55225,55343.0,55461.0,55520.0
118,55579,55697,55815,55933,55992.0,56051,56169,56288.0,56407.0,56466.5
119,56526,56645,56764,56883,56942.5,57002,57121,57241.0,57361.0,57421.0
120,57481,57601,57721,57841,57901.0,57961,58081,58202.0,58323.0,58383.5
121,58444,58565,58686,58807,58867.5,58928,59049,59171.0,59293.0,59354.0
122,59415,59537,59659,59781,59842.0,59903,60025,60148.0,60271.0,60332.5
123,60394,60517,60640,60763,60824.5,60886,61009,61133.0,61257.0,61319.0
124,61381,61505,61629,61753,61815.0,61877,62001,62126.0,62251.0,62313.5
125,62376,62501,62626,62751,62813.5,62876,63001,63127.0,63253.0,63316.0
126,63379,63505,63631,63757,63820.0,63883,64009,64136.0,64263.0,64326.5
127,64390,64517,64644,64771,64834.5,64898,65025,65153.0,65281.0,65345.0
128,65409,65537,65665,65793,65857.0,65921,66049,66178.0,66307.0,66371.5
129,66436,66565,66694,66823,66887.5,66952,67081,67211.0,67341.0,67406.0
130,67471,67601,67731,67861,67926.0,67991,68121,68252.0,68383.0,68448.5
131,68514,68645,68776,68907,68972.5,69038,69169,69301.0,69433.0,69499.0
132,69565,69697,69829,69961,70027.0,70093,70225,70358.0,70491.0,70557.5
133,70624,70757,70890,71023,71089.5,71156,71289,71423.0,71557.0,71624.0
134,71691,71825,71959,72093,72160.0,72227,72361,72496.0,72631.0,72698.5
135,72766,72901,73036,73171,73238.5,73306,73441,73577.0,73713.0,73781.0
136,73849,73985,74121,74257,74325.0,74393,74529,74666.0,74803.0,74871.5
137,74940,75077,75214,75351,75419.5,75488,75625,75763.0,75901.0,75970.0
138,76039,76177,76315,76453,76522.0,76591,76729,76868.0,77007.0,77076.5
139,77146,77285,77424,77563,77632.5,77702,77841,77981.0,78121.0,78191.0
140,78261,78401,78541,78681,78751.0,78821,78961,79102.0,79243.0,79313.5
141,79384,79525,79666,79807,79877.5,79948,80089,80231.0,80373.0,80444.0
142,80515,80657,80799,80941,81012.0,81083,81225,81368.0,81511.0,81582.5
143,81654,81797,81940,82083,82154.5,82226,82369,82513.0,82657.0,82729.0
144,82801,82945,83089,83233,83305.0,83377,83521,83666.0,83811.0,83883.5
145,83956,84101,84246,84391,84463.5,84536,84681,84827.0,84973.0,85046.0
146,85119,85265,85411,85557,85630.0,85703,85849,85996.0,86143.0,86216.5
