Index,Buy_315,Notrade_0,Notrade_45,Sell_90,SL1,Buy_135,Notrade_180,Notrade_225,Sell_270,SL2
87,29929.0,30016,30103,30190,30233.5,30277,30364,30451,30538,30581.5
88,30625.0,30713,30801,30889,30933.0,30977,31065,31153,31241,31285.0
89,31329.0,31418,31507,31596,31640.5,31685,31774,31863,31952,31996.5
90,32041.0,32131,32221,32311,32356.0,32401,32491,32581,32671,32716.0
91,32761.0,32852,32943,33034,33079.5,33125,33216,33307,33398,33443.5
92,33489.0,33581,33673,33765,33811.0,33857,33949,34041,34133,34179.0
93,34225.0,34318,34411,34504,34550.5,34597,34690,34783,34876,34922.5
94,34969.0,35063,35157,35251,35298.0,35345,35439,35533,35627,35674.0
95,35721.0,35816,35911,36006,36053.5,36101,36196,36291,36386,36433.5
96,36481.0,36577,36673,36769,36817.0,36865,36961,37057,37153,37201.0
97,37249.0,37346,37443,37540,37588.5,37637,37734,37831,37928,37976.5
98,38025.0,38123,38221,38319,38368.0,38417,38515,38613,38711,38760.0
99,38809.0,38908,39007,39106,39155.5,39205,39304,39403,39502,39551.5
100,39601.0,39701,39801,39901,39951.0,40001,40101,40201,40301,40351.0
101,40401.0,40502,40603,40704,40754.5,40805,40906,41007,41108,41158.5
102,41209.0,41311,41413,41515,41566.0,41617,41719,41821,41923,41974.0
103,42025.0,42128,42231,42334,42385.5,42437,42540,42643,42746,42797.5
104,42849.0,42953,43057,43161,43213.0,43265,43369,43473,43577,43629.0
105,43681.0,43786,43891,43996,44048.5,44101,44206,44311,44416,44468.5
106,44521.0,44627,44733,44839,44892.0,44945,45051,45157,45263,45316.0
107,45369.0,45476,45583,45690,45743.5,45797,45904,46011,46118,46171.5
108,46225.0,46333,46441,46549,46603.0,46657,46765,46873,46981,47035.0
109,47089.0,47198,47307,47416,47470.5,47525,47634,47743,47852,47906.5
110,47961.0,48071,48181,48291,48346.0,48401,48511,48621,48731,48786.0
111,48841.0,48952,49063,49174,49229.5,49285,49396,49507,49618,49673.5
112,49729.0,49841,49953,50065,50121.0,50177,50289,50401,50513,50569.0
113,50625.0,50738,50851,50964,51020.5,51077,51190,51303,51416,51472.5
114,51529.0,51643,51757,51871,51928.0,51985,52099,52213,52327,52384.0
115,52441.0,52556,52671,52786,52843.5,52901,53016,53131,53246,53303.5
116,53361.0,53477,53593,53709,53767.0,53825,53941,54057,54173,54231.0
117,54289.0,54406,54523,54640,54698.5,54757,54874,54991,55108,55166.5
118,55225.0,55343,55461,55579,55638.0,55697,55815,55933,56051,56110.0
119,56169.0,56288,56407,56526,56585.5,56645,56764,56883,57002,57061.5
120,57121.0,57241,57361,57481,57541.0,57601,57721,57841,57961,58021.0
121,58081.0,58202,58323,58444,58504.5,58565,58686,58807,58928,58988.5
122,59049.0,59171,59293,59415,59476.0,59537,59659,59781,59903,59964.0
123,60025.0,60148,60271,60394,60455.5,60517,60640,60763,60886,60947.5
124,61009.0,61133,61257,61381,61443.0,61505,61629,61753,61877,61939.0
125,62001.0,62126,62251,62376,62438.5,62501,62626,62751,62876,62938.5
126,63001.0,63127,63253,63379,63442.0,63505,63631,63757,63883,63946.0
127,64009.0,64136,64263,64390,64453.5,64517,64644,64771,64898,64961.5
128,65025.0,65153,65281,65409,65473.0,65537,65665,65793,65921,65985.0
129,66049.0,66178,66307,66436,66500.5,66565,66694,66823,66952,67016.5
130,67081.0,67211,67341,67471,67536.0,67601,67731,67861,67991,68056.0
131,68121.0,68252,68383,68514,68579.5,68645,68776,68907,69038,69103.5
132,69169.0,69301,69433,69565,69631.0,69697,69829,69961,70093,70159.0
133,70225.0,70358,70491,70624,70690.5,70757,70890,71023,71156,71222.5
134,71289.0,71423,71557,71691,71758.0,71825,71959,72093,72227,72294.0
135,72361.0,72496,72631,72766,72833.5,72901,73036,73171,73306,73373.5
136,73441.0,73577,73713,73849,73917.0,73985,74121,74257,74393,74461.0
137,74529.0,74666,74803,74940,75008.5,75077,75214,75351,75488,75556.5
138,75625.0,75763,75901,76039,76108.0,76177,76315,76453,76591,76660.0
139,76729.0,76868,77007,77146,77215.5,77285,77424,77563,77702,77771.5
140,77841.0,77981,78121,78261,78331.0,78401,78541,78681,78821,78891.0
141,78961.0,79102,79243,79384,79454.5,79525,79666,79807,79948,80018.5
142,80089.0,80231,80373,80515,80586.0,80657,80799,80941,81083,81154.0
143,81225.0,81368,81511,81654,81725.5,81797,81940,82083,82226,82297.5
144,82369.0,82513,82657,82801,82873.0,82945,83089,83233,83377,83449.0
145,83521.0,83666,83811,83956,84028.5,84101,84246,84391,84536,84608.5
146,84681.0,84827,84973,85119,85192.0,85265,85411,85557,85703,85776.0
147,85849.0,85996,86143,86290,86363.5,86437,86584,86731,86878,86951.5
148,87025.0,87173,87321,87469,87543.0,87617,87765,87913,88061,88135.0
149,88209.0,88358,88507,88656,88730.5,88805,88954,89103,89252,89326.5
150,89401.0,89551,89701,89851,89926.0,90001,90151,90301,90451,90526.0
151,90601.0,90752,90903,91054,91129.5,91205,91356,91507,91658,91733.5
152,91809.0,91961,92113,92265,92341.0,92417,92569,92721,92873,92949.0
153,93025.0,93178,93331,93484,93560.5,93637,93790,93943,94096,94172.5
154,94249.0,94403,94557,94711,94788.0,94865,95019,95173,95327,95404.0
155,95481.0,95636,95791,95946,96023.5,96101,96256,96411,96566,96643.5
156,96721.0,96877,97033,97189,97267.0,97345,97501,97657,97813,97891.0
157,97969.0,98126,98283,98440,98518.5,98597,98754,98911,99068,99146.5
158,99225.0,99383,99541,99699,99778.0,99857,100015,100173,100331,100410.0
159,100489.0,100648,100807,100966,101045.5,101125,101284,101443,101602,101681.5
160,101761.0,101921,102081,102241,102321.0,102401,102561,102721,102881,102961.0
161,103041.0,103202,103363,103524,103604.5,103685,103846,104007,104168,104248.5
162,104329.0,104491,104653,104815,104896.0,104977,105139,105301,105463,105544.0
163,105625.0,105788,105951,106114,106195.5,106277,106440,106603,106766,106847.5
164,106929.0,107093,107257,107421,107503.0,107585,107749,107913,108077,108159.0
165,108241.0,108406,108571,108736,108818.5,108901,109066,109231,109396,109478.5
166,109561.0,109727,109893,110059,110142.0,110225,110391,110557,110723,110806.0
167,110889.0,111056,111223,111390,111473.5,111557,111724,111891,112058,112141.5
168,112225.0,112393,112561,112729,112813.0,112897,113065,113233,113401,113485.0
169,113569.0,113738,113907,114076,114160.5,114245,114414,114583,114752,114836.5
170,114921.0,115091,115261,115431,115516.0,115601,115771,115941,116111,116196.0
171,116281.0,116452,116623,116794,116879.5,116965,117136,117307,117478,117563.5
172,117649.0,117821,117993,118165,118251.0,118337,118509,118681,118853,118939.0
173,119025.0,119198,119371,119544,119630.5,119717,119890,120063,120236,120322.5
174,120409.0,120583,120757,120931,121018.0,121105,121279,121453,121627,121714.0
175,121801.0,121976,122151,122326,122413.5,122501,122676,122851,123026,123113.5
176,123201.0,123377,123553,123729,123817.0,123905,124081,124257,124433,124521.0
177,124609.0,124786,124963,125140,125228.5,125317,125494,125671,125848,125936.5
178,126025.0,126203,126381,126559,126648.0,126737,126915,127093,127271,127360.0
179,127449.0,127628,127807,127986,128075.5,128165,128344,128523,128702,128791.5
180,128881.0,129061,129241,129421,129511.0,129601,129781,129961,130141,130231.0
181,130321.0,130502,130683,130864,130954.5,131045,131226,131407,131588,131678.5
182,131769.0,131951,132133,132315,132406.0,132497,132679,132861,133043,133134.0
183,133225.0,133408,133591,133774,133865.5,133957,134140,134323,134506,134597.5
184,134689.0,134873,135057,135241,135333.0,135425,135609,135793,135977,136069.0
185,136161.0,136346,136531,136716,136808.5,136901,137086,137271,137456,137548.5
186,137641.0,137827,138013,138199,138292.0,138385,138571,138757,138943,139036.0
187,139129.0,139316,139503,139690,139783.5,139877,140064,140251,140438,140531.5
188,140625.0,140813,141001,141189,141283.0,141377,141565,141753,141941,142035.0
189,142129.0,142318,142507,142696,142790.5,142885,143074,143263,143452,143546.5
190,143641.0,143831,144021,144211,144306.0,144401,144591,144781,144971,145066.0
191,145161.0,145352,145543,145734,145829.5,145925,146116,146307,146498,146593.5
192,146689.0,146881,147073,147265,147361.0,147457,147649,147841,148033,148129.0
193,148225.0,148418,148611,148804,148900.5,148997,149190,149383,149576,149672.5
194,149769.0,149963,150157,150351,150448.0,150545,150739,150933,151127,151224.0
195,151321.0,151516,151711,151906,152003.5,152101,152296,152491,152686,152783.5
196,152881.0,153077,153273,153469,153567.0,153665,153861,154057,154253,154351.0
197,154449.0,154646,154843,155040,155138.5,155237,155434,155631,155828,155926.5
198,156025.0,156223,156421,156619,156718.0,156817,157015,157213,157411,157510.0
199,157609.0,157808,158007,158206,158305.5,158405,158604,158803,159002,159101.5
200,159201.0,159401,159601,159801,159901.0,160001,160201,160401,160601,160701.0
201,160801.0,161002,161203,161404,161504.5,161605,161806,162007,162208,162308.5
202,162409.0,162611,162813,163015,163116.0,163217,163419,163621,163823,163924.0
203,164025.0,164228,164431,164634,164735.5,164837,165040,165243,165446,165547.5
204,165649.0,165853,166057,166261,166363.0,166465,166669,166873,167077,167179.0
205,167281.0,167486,167691,167896,167998.5,168101,168306,168511,168716,168818.5
206,168921.0,169127,169333,169539,169642.0,169745,169951,170157,170363,170466.0
207,170569.0,170776,170983,171190,171293.5,171397,171604,171811,172018,172121.5
208,172225.0,172433,172641,172849,172953.0,173057,173265,173473,173681,173785.0
