Index,Buy_45,Notrade_90,Notrade_135,Sell_180,SL1,Buy_225,Notrade_270,Notrade_315,Sell_360,SL2
87,30103,30190,30277,30364,30407.5,30451,30538,30625,30713.0,30757.0
88,30801,30889,30977,31065,31109.0,31153,31241,31329,31418.0,31462.5
89,31507,31596,31685,31774,31818.5,31863,31952,32041,32131.0,32176.0
90,32221,32311,32401,32491,32536.0,32581,32671,32761,32852.0,32897.5
91,32943,33034,33125,33216,33261.5,33307,33398,33489,33581.0,33627.0
92,33673,33765,33857,33949,33995.0,34041,34133,34225,34318.0,34364.5
93,34411,34504,34597,34690,34736.5,34783,34876,34969,35063.0,35110.0
94,35157,35251,35345,35439,35486.0,35533,35627,35721,35816.0,35863.5
95,35911,36006,36101,36196,36243.5,36291,36386,36481,36577.0,36625.0
96,36673,36769,36865,36961,37009.0,37057,37153,37249,37346.0,37394.5
97,37443,37540,37637,37734,37782.5,37831,37928,38025,38123.0,38172.0
98,38221,38319,38417,38515,38564.0,38613,38711,38809,38908.0,38957.5
99,39007,39106,39205,39304,39353.5,39403,39502,39601,39701.0,39751.0
100,39801,39901,40001,40101,40151.0,40201,40301,40401,40502.0,40552.5
101,40603,40704,40805,40906,40956.5,41007,41108,41209,41311.0,41362.0
102,41413,41515,41617,41719,41770.0,41821,41923,42025,42128.0,42179.5
103,42231,42334,42437,42540,42591.5,42643,42746,42849,42953.0,43005.0
104,43057,43161,43265,43369,43421.0,43473,43577,43681,43786.0,43838.5
105,43891,43996,44101,44206,44258.5,44311,44416,44521,44627.0,44680.0
106,44733,44839,44945,45051,45104.0,45157,45263,45369,45476.0,45529.5
107,45583,45690,45797,45904,45957.5,46011,46118,46225,46333.0,46387.0
108,46441,46549,46657,46765,46819.0,46873,46981,47089,47198.0,47252.5
109,47307,47416,47525,47634,47688.5,47743,47852,47961,48071.0,48126.0
110,48181,48291,48401,48511,48566.0,48621,48731,48841,48952.0,49007.5
111,49063,49174,49285,49396,49451.5,49507,49618,49729,49841.0,49897.0
112,49953,50065,50177,50289,50345.0,50401,50513,50625,50738.0,50794.5
113,50851,50964,51077,51190,51246.5,51303,51416,51529,51643.0,51700.0
114,51757,51871,51985,52099,52156.0,52213,52327,52441,52556.0,52613.5
115,52671,52786,52901,53016,53073.5,53131,53246,53361,53477.0,53535.0
116,53593,53709,53825,53941,53999.0,54057,54173,54289,54406.0,54464.5
117,54523,54640,54757,54874,54932.5,54991,55108,55225,55343.0,55402.0
118,55461,55579,55697,55815,55874.0,55933,56051,56169,56288.0,56347.5
119,56407,56526,56645,56764,56823.5,56883,57002,57121,57241.0,57301.0
120,57361,57481,57601,57721,57781.0,57841,57961,58081,58202.0,58262.5
121,58323,58444,58565,58686,58746.5,58807,58928,59049,59171.0,59232.0
122,59293,59415,59537,59659,59720.0,59781,59903,60025,60148.0,60209.5
123,60271,60394,60517,60640,60701.5,60763,60886,61009,61133.0,61195.0
124,61257,61381,61505,61629,61691.0,61753,61877,62001,62126.0,62188.5
125,62251,62376,62501,62626,62688.5,62751,62876,63001,63127.0,63190.0
126,63253,63379,63505,63631,63694.0,63757,63883,64009,64136.0,64199.5
127,64263,64390,64517,64644,64707.5,64771,64898,65025,65153.0,65217.0
128,65281,65409,65537,65665,65729.0,65793,65921,66049,66178.0,66242.5
129,66307,66436,66565,66694,66758.5,66823,66952,67081,67211.0,67276.0
130,67341,67471,67601,67731,67796.0,67861,67991,68121,68252.0,68317.5
131,68383,68514,68645,68776,68841.5,68907,69038,69169,69301.0,69367.0
132,69433,69565,69697,69829,69895.0,69961,70093,70225,70358.0,70424.5
133,70491,70624,70757,70890,70956.5,71023,71156,71289,71423.0,71490.0
134,71557,71691,71825,71959,72026.0,72093,72227,72361,72496.0,72563.5
135,72631,72766,72901,73036,73103.5,73171,73306,73441,73577.0,73645.0
136,73713,73849,73985,74121,74189.0,74257,74393,74529,74666.0,74734.5
137,74803,74940,75077,75214,75282.5,75351,75488,75625,75763.0,75832.0
138,75901,76039,76177,76315,76384.0,76453,76591,76729,76868.0,76937.5
139,77007,77146,77285,77424,77493.5,77563,77702,77841,77981.0,78051.0
140,78121,78261,78401,78541,78611.0,78681,78821,78961,79102.0,79172.5
141,79243,79384,79525,79666,79736.5,79807,79948,80089,80231.0,80302.0
142,80373,80515,80657,80799,80870.0,80941,81083,81225,81368.0,81439.5
143,81511,81654,81797,81940,82011.5,82083,82226,82369,82513.0,82585.0
144,82657,82801,82945,83089,83161.0,83233,83377,83521,83666.0,83738.5
145,83811,83956,84101,84246,84318.5,84391,84536,84681,84827.0,84900.0
146,84973,85119,85265,85411,85484.0,85557,85703,85849,85996.0,86069.5
147,86143,86290,86437,86584,86657.5,86731,86878,87025,87173.0,87247.0
148,87321,87469,87617,87765,87839.0,87913,88061,88209,88358.0,88432.5
149,88507,88656,88805,88954,89028.5,89103,89252,89401,89551.0,89626.0
150,89701,89851,90001,90151,90226.0,90301,90451,90601,90752.0,90827.5
151,90903,91054,91205,91356,91431.5,91507,91658,91809,91961.0,92037.0
152,92113,92265,92417,92569,92645.0,92721,92873,93025,93178.0,93254.5
